"subject"	"culture"	"counterbalance"	"sex"	"age"	"order"	"response"
1	"Central African Republic"	"CB11"	"Girl"	6	"Min_first"	"Innovation"
2	"Central African Republic"	"CB3"	"Girl"	8	"Min_first"	"Minority"
3	"Central African Republic"	"CB7"	"Boy"	8	"Maj_first"	"Majority"
4	"Central African Republic"	"CB8"	"Girl"	6	"Min_first"	"Innovation"
5	"Central African Republic"	"CB7"	"Girl"	5	"Maj_first"	"Majority"
6	"Central African Republic"	"CB7"	"Boy"	7	"Maj_first"	"Majority"
7	"Central African Republic"	"CB6"	"Boy"	6	"Min_first"	"Majority"
8	"Central African Republic"	"CB9"	"Girl"	6	"Maj_first"	"Innovation"
9	"Central African Republic"	"CB1"	"Girl"	8	"Min_first"	"Minority"
10	"Central African Republic"	"CB10"	"Girl"	5	"Maj_first"	"Majority"
11	"Central African Republic"	"CB4"	"Girl"	9	"Min_first"	"Minority"
12	"Central African Republic"	"CB7"	"Girl"	9	"Maj_first"	"Minority"
13	"Central African Republic"	"CB8"	"Boy"	9	"Min_first"	"Minority"
14	"Central African Republic"	"CB9"	"Girl"	8	"Maj_first"	"Minority"
15	"Central African Republic"	"CB6"	"Boy"	9	"Min_first"	"Minority"
16	"Central African Republic"	"CB5"	"Girl"	10	"Maj_first"	"Innovation"
17	"Central African Republic"	"CB8"	"Girl"	9	"Min_first"	"Majority"
18	"Central African Republic"	"CB2"	"Boy"	9	"Maj_first"	"Innovation"
19	"Central African Republic"	"CB5"	"Boy"	5	"Maj_first"	"Majority"
20	"Central African Republic"	"CB1"	"Boy"	7	"Min_first"	"Minority"
21	"Central African Republic"	"CB5"	"Girl"	6	"Maj_first"	"Innovation"
22	"Central African Republic"	"CB9"	"Boy"	7	"Maj_first"	"Minority"
23	"Central African Republic"	"CB12"	"Boy"	10	"Maj_first"	"Majority"
24	"Central African Republic"	"CB12"	"Girl"	5	"Maj_first"	"Innovation"
25	"Central African Republic"	"CB3"	"Boy"	9	"Min_first"	"Majority"
26	"Central African Republic"	"CB1"	"Girl"	5	"Min_first"	"Majority"
27	"Central African Republic"	"CB1"	"Boy"	9	"Min_first"	"Majority"
28	"Central African Republic"	"CB2"	"Girl"	8	"Maj_first"	"Minority"
29	"Central African Republic"	"CB9"	"Boy"	10	"Maj_first"	"Majority"
30	"Central African Republic"	"CB12"	"Boy"	7	"Maj_first"	"Innovation"
31	"Central African Republic"	"CB8"	"Boy"	5	"Min_first"	"Majority"
32	"Central African Republic"	"CB11"	"Girl"	9	"Min_first"	"Minority"
33	"Central African Republic"	"CB2"	"Boy"	5	"Maj_first"	"Majority"
34	"Central African Republic"	"CB4"	"Girl"	5	"Min_first"	"Minority"
35	"Central African Republic"	"CB10"	"Boy"	7	"Maj_first"	"Majority"
36	"Central African Republic"	"CB3"	"Girl"	7	"Min_first"	"Majority"
37	"Central African Republic"	"CB6"	"Girl"	8	"Min_first"	"Minority"
38	"Central African Republic"	"CB10"	"Girl"	8	"Maj_first"	"Majority"
39	"Central African Republic"	"CB6"	"Girl"	7	"Min_first"	"Majority"
40	"Central African Republic"	"CB4"	"Boy"	7	"Min_first"	"Majority"
41	"Central African Republic"	"CB4"	"Boy"	9	"Min_first"	"Minority"
42	"Central African Republic"	"CB12"	"Girl"	8	"Maj_first"	"Majority"
43	"Central African Republic"	"CB2"	"Girl"	6	"Maj_first"	"Minority"
44	"Central African Republic"	"CB5"	"Boy"	9	"Maj_first"	"Majority"
45	"Central African Republic"	"CB3"	"Boy"	6	"Min_first"	"Majority"
46	"Central African Republic"	"CB10"	"Boy"	8	"Maj_first"	"Majority"
47	"Central African Republic"	"CB11"	"Boy"	9	"Min_first"	"Minority"
48	"Central African Republic"	"CB11"	"Boy"	7	"Min_first"	"Majority"
49	"Brazil"	"CB12"	"Girl"	5	"Maj_first"	"Majority"
50	"Brazil"	"CB6"	"Boy"	8	"Min_first"	"Majority"
51	"Brazil"	"CB2"	"Girl"	6	"Maj_first"	"Majority"
52	"Brazil"	"CB3"	"Boy"	5	"Min_first"	"Innovation"
53	"Brazil"	"CB5"	"Girl"	9	"Maj_first"	"Innovation"
54	"Brazil"	"CB12"	"Girl"	5	"Maj_first"	"Minority"
55	"Brazil"	"CB3"	"Girl"	7	"Min_first"	"Minority"
56	"Brazil"	"CB1"	"Girl"	8	"Min_first"	"Minority"
57	"Brazil"	"CB3"	"Girl"	5	"Min_first"	"Majority"
58	"Brazil"	"CB5"	"Boy"	8	"Maj_first"	"Minority"
59	"Brazil"	"CB5"	"Girl"	5	"Maj_first"	"Majority"
60	"Brazil"	"CB1"	"Boy"	11	"Min_first"	"Majority"
